ticker,price,share_issued,mcap,nd,cf,pe,ticker,right,stock_price,strike,expiry,rate,iv,option_price,delta,gamma,vega,rho,theta
MNDO,1.8700000047683716,20160826.0,37700744.71613431,17362000.0,6076000.0,7.79,3.874940441428342,MNDO,C,1.8700000047683716,2.5,20240517,0.05335,0.6836,0.2144334303327815,0.44517695463390783,0.40561887454953277,0.005631789600393698,0.0035897552086176384,-0.003643903683560971
SIG,74.94000244140625,70000000.0,5245800170.8984375,1675400000.0,873850000.0,8.41,148.77,SIG,C,74.94000244140625,65.0,20240419,0.05335,0.5207999999999999,16.50670861113265,0.6269802550886611,0.013661126456621094,0.2014233670136398,0.15364853576466364,-0.1203067655760313
AMTD,1.2100000381469727,377604189.0,456901083.0944567,5772720796.0,836830814.5,1.27,37.44934339433401,,,,,,,,,,,,,
BZH,23.670000076293945,31339214.0,741799197.7709923,1091718000.0,120496666.66666667,3.84,73.28469267501944,BZH,C,23.670000076293945,20.0,20240517,0.05335,0.6409,6.480056395103457,0.6476697985854207,0.03211461372363317,0.06697804846485217,0.05140441125499365,-0.04167463421896586
QIWI,5.670000076293945,62712975.0,355582573.0346203,94991000000.0,5751000000.0,1.15,2431.7296380852604,,,,,,,,,,,,,
TK,6.71999979019165,91374909.0,614039369.3087811,454087000.0,367389000.0,4.25,45.17626386911094,TK,C,6.71999979019165,5.0,20240419,0.05335,0.5801,2.041459081863495,0.6909657485942631,0.12729005510739336,0.016809733085291746,0.013116077563956188,-0.011059908283100358
MOMO,7.190000057220459,379047992.0,2725355084.1693,8834439000.0,2707357750.0,6.09,94.73211112539015,MOMO,C,7.190000057220459,6.0,20240419,0.05335,0.5801,1.8055143464718069,0.6398961603057338,0.1263447443899326,0.019100414535232983,0.014091572362313677,-0.012481136558901753
KT,12.279999732971191,256042678.0,3144204017.4692287,1369719000000.0,470116500000.0,6.86,23710.437835679877,KT,C,12.279999732971191,15.0,20240419,0.05335,0.5879,1.235639231636001,0.4586071254159584,0.07741046198715155,0.03459591272208801,0.022160940571670153,-0.02251842649085367
GGB,4.440000057220459,1758849464.0,7809291720.802174,18385130000.0,5098110000.0,4.27,39.438412109610766,GGB,C,4.440000057220459,3.0,20240315,0.05335,0.9081999999999999,1.6569287601763196,0.6589362421791576,0.14238834629410052,0.010406754250658649,0.005179273444596229,-0.01225327376090641
SVA,6.46999979019165,99502243.0,643779491.3335986,11505840000.0,3459639000.0,6.66,463.3285502920773,,,,,,,,,,,,,
TPH,26.170000076293945,99094458.0,2593301973.420307,2912194000.0,410396750.0,5.58,70.80276376303506,TPH,C,26.170000076293945,22.5,20240419,0.05335,0.5042,5.7741437481602755,0.6334024681874943,0.04017990593783911,0.0699429850647281,0.05445391222586699,-0.04074063100274349
JAKK,18.040000915527344,9870927.0,178071532.11710358,225750000.0,27330000.0,2.72,50.55756161503372,JAKK,C,18.040000915527344,17.5,20240419,0.05335,0.8084,4.411952963836273,0.5772973931949336,0.037803240520516854,0.05013642963924055,0.030259140465190845,-0.0434022095188023
DIT,179.1999969482422,608689.0,109077066.94242859,77195394.0,13151503.333333334,7.99,342.8851635783353,,,,,,,,,,,,,
CNHI,11.979999542236328,1364400196.0,16345513723.507156,9997000000.0,2998500000.0,6.97,29.30371903875042,CNHI,C,11.979999542236328,10.0,20240315,0.05335,0.5820000000000001,2.789256689956753,0.6171974678190133,0.08566105044072368,0.029208777957976297,0.018797548907005003,-0.0232781900757405
ENVA,50.22999954223633,45070929.0,2263912743.038166,1119107000.0,711220000.0,8.41,182.63007181413988,ENVA,C,50.22999954223633,50.0,20240315,0.05335,0.4607,6.420931141740585,0.5384970582900069,0.026856761214840305,0.1274358448378533,0.08420653703012737,-0.08291444259912238
TMHC,41.189998626708984,160950032.0,6629531597.048767,4455349000.0,720314500.0,4.54,72.43548730701713,TMHC,C,41.189998626708984,30.0,20240419,0.05335,0.6187,13.187713708308138,0.6933492243816047,0.019405165101544185,0.1026847550962641,0.07748839835866253,-0.07121375157681706
HSII,25.649999618530273,20037959.0,513973640.70612526,441788000.0,116159750.0,8.64,80.01740596434996,HSII,C,25.649999618530273,30.0,20240419,0.05335,0.5981000000000001,3.040255401629496,0.481255918987559,0.036585307303232346,0.07257385526118626,0.04690214815272046,-0.048016228109940044
HCC,49.529998779296875,54239955.0,2686504904.9391174,891778000.0,344371500.0,5.56,79.93172191975455,HCC,C,49.529998779296875,45.0,20240419,0.05335,0.5093,9.718899605510394,0.6034751266646317,0.0215208593927805,0.13554855098040774,0.1016850677643992,-0.07923343999142883
PBF,48.689998626708984,124002739.0,6037693191.618153,4064600000.0,1387800000.0,2.03,144.69519096670922,PBF,C,48.689998626708984,42.0,20240419,0.05335,0.368,9.219512486801843,0.6564944147665258,0.028914009079455433,0.12716295600389813,0.11466073256598698,-0.05854904296356587
MT,23.34000015258789,837980621.0,19558467822.005695,23929000000.0,4430000000.0,4.55,81.42073729411459,MT,C,23.34000015258789,21.0,20240315,0.05335,0.4155,3.8269325280697206,0.59875583103022,0.06240305824621739,0.05765965178080796,0.04142619918551334,-0.0347579955715681
GRVY,67.0999984741211,6948900.0,466271179.39682007,387325000000.0,63911155000.0,4.62,147712.0911223359,,,,,,,,,,,,,
DDS,317.7300109863281,16424774.0,5218643623.467957,1728400000.0,614525000.0,6.67,479.3764590002882,,,,,,,,,,,,,
VIPS,15.359999656677246,114098053.0,1752546054.9075422,25930735000.0,7036040250.0,9.04,843.9332220682153,VIPS,C,15.359999656677246,13.0,20240517,0.05335,0.5317000000000001,3.7925922228038917,0.6558650056911338,0.059139504868926364,0.043089331159659953,0.03648429414687592,-0.02307374320876874
X,33.20000076293945,284815011.0,9455858582.496609,3494000000.0,951500000.0,6.17,45.675261125896206,X,C,33.20000076293945,29.0,20240419,0.05335,0.37310000000000004,6.100552368478249,0.6462952001658173,0.04227590848270279,0.08764342562956429,0.07741333078631295,-0.04062585337367082
HOV,76.9000015258789,7023797.0,540130000.0174637,604175000.0,79365250.0,3.68,199.01308366400679,,,,,,,,,,,,,
AAP,54.68000030517578,59457000.0,3251108778.1448364,2196404000.0,554006750.0,9.44,130.11876650352355,AAP,C,54.68000030517578,50.0,20240315,0.05335,0.5815,10.53985488571746,0.5785058417607775,0.019255990276179698,0.13666773522643877,0.0861050373432292,-0.10859325122256476
HMC,33.77000045776367,1811428430.0,61171938910.30613,1619824000000.0,906582250000.0,9.76,5899.016667194519,HMC,C,33.77000045776367,30.0,20240419,0.05335,0.3506,5.735669123706831,0.6394286649516286,0.04452869245122886,0.08975092763029509,0.07994087786117006,-0.039670309556150626
BXC,75.27999877929688,9008476.0,678158062.2833252,528059000.0,132998250.0,5.0,206.25480935954093,BXC,C,75.27999877929688,60.0,20240517,0.05335,0.6118,22.030500190366897,0.6760275398081242,0.010240569138472632,0.20622236821631293,0.16763015513440738,-0.12400787402374353
UMC,7.340000152587891,12503000000.0,91772021907.8064,197232388000.0,44175502750.0,7.34,51.106727625369906,UMC,C,7.340000152587891,6.0,20240419,0.05335,0.3232,1.5511504245060097,0.7121755812396496,0.20250846135312456,0.017775900983856337,0.018532169722878893,-0.0076595981065378915
FF,6.889999866485596,43763243.0,301528738.4269767,273775000.0,52499250.0,7.18,18.252018023435784,FF,C,6.889999866485596,5.0,20240517,0.05335,0.6231,2.3226692611934268,0.7149747325523226,0.10376725934489367,0.017827872571030374,0.015121736677647173,-0.010951753293437743
RYI,28.219999313354492,39449759.0,1113272171.8920002,720900000.0,192750000.0,8.6,67.13348996631386,RYI,C,28.219999313354492,30.0,20240315,0.05335,0.5195000000000001,3.2525543191222894,0.5077013328061752,0.0425833555986708,0.07191721065378479,0.04520936341546612,-0.051669338771949916
BCC,95.4000015258789,44983000.0,4291378268.638611,1777952000.0,466395500.0,6.55,143.2075895338239,BCC,C,95.4000015258789,85.0,20240419,0.05335,0.44530000000000003,18.132242398085033,0.6204318673514243,0.012619201323473534,0.2578138747351531,0.20697206574481736,-0.1357724994826237
CRWS,4.329999923706055,10154307.0,43968148.53528786,35072000.0,7622500.0,9.41,10.96057072136976,CRWS,C,4.329999923706055,5.0,20240315,0.05335,0.6231,0.47845363050975376,0.4824787269697863,0.2312057324298202,0.01102619148250852,0.006575101475299261,-0.00927440900221612
IVZ,13.4399995803833,566120544.0,7608659873.806366,2715000000.0,999225000.0,9.6,22.446191247919103,IVZ,C,13.4399995803833,14.0,20240419,0.05335,0.32420000000000004,1.1476734436290368,0.5109762362020754,0.12890533812264476,0.038054619313836816,0.028834296986255784,-0.015288270055821949
NOAH,11.6899995803833,31945575.0,373443758.34510326,6755665000.0,447112000.0,6.35,351.4347448746814,NOAH,C,11.6899995803833,10.0,20240315,0.05335,0.5571,2.535867958772271,0.6089987086774773,0.09227606258077155,0.028677719230095607,0.018710018543235347,-0.02201356198658409
CAAS,3.4100000858306885,32338302.0,110273612.59561872,369409000.0,20290250.0,3.59,17.69763607254333,CAAS,C,3.4100000858306885,2.5,20240517,0.05335,1.0312999999999999,1.4133552053908893,0.684582104243892,0.13261832842711502,0.009237199931433807,0.005349775444215189,-0.008692118031020487
