Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
UVXY,2908642,0,0.00,0,0.00,15.66,2855912,52730
VXX,2069371,0,0.00,0,0.00,23.01,2036161,33210
VIXY,639098,0,0.00,0,0.00,22.91,632478,6620
IEFA,590746,0,0.00,0,0.00,63.98,580806,9940
USHY,470363,0,0.00,0,0.00,34.23,470363,0
USMV,427745,0,0.00,0,0.00,73.61,426651,1094
UVIX,424206,0,0.00,0,0.00,33.06,404685,19521
ARKG,403778,0,0.00,0,0.00,25.46,402713,1065
SVIX,396650,0,0.00,0,0.00,26.96,367339,29311
SVXY,327673,0,0.00,0,0.00,85.53,325032,2641
IGV,321087,0,0.00,0,0.00,353.29,320935,152
ITB,314131,0,0.00,0,0.00,76.40,310835,3296
CBOE,284383,0,0.00,0,0.00,163.20,282671,1712
INDA,257722,0,0.00,0,0.00,44.92,254417,3305
GOVT,217263,0,0.00,0,0.00,21.80,213070,4193
COWZ,208390,0,0.00,0,0.00,49.69,186907,21483
EFV,198443,0,0.00,0,0.00,48.83,197794,649
EZU,185086,0,0.00,0,0.00,41.93,183585,1501
MOAT,178647,0,0.00,0,0.00,75.86,177428,1219
QUAL,171953,0,0.00,0,0.00,136.25,171235,718
PAVE,119326,0,0.00,0,0.00,30.37,117825,1501
AAAU,91795,0,0.00,0,0.00,19.03,90233,1562
BITX,89459,0,0.00,0,0.00,11.50,89458,1
IDV,87108,0,0.00,0,0.00,25.49,87108,0
BBJP,81016,0,0.00,0,0.00,49.81,72770,8246
NOBL,80608,0,0.00,0,0.00,88.08,80307,301
BBEU,69277,0,0.00,0,0.00,51.16,64568,4709
BBAX,67049,0,0.00,0,0.00,45.14,64399,2650
ITM,61303,0,0.00,0,0.00,44.04,53444,7859
ITA,61173,0,0.00,0,0.00,109.50,59641,1532
ICSH,56036,0,0.00,0,0.00,50.27,35107,20929
VNM,53630,0,0.00,0,0.00,13.60,52530,1100
EFAV,53581,0,0.00,0,0.00,65.21,52517,1064
CALF,52896,0,0.00,0,0.00,40.92,52824,72
FLOT,52499,0,0.00,0,0.00,50.71,52499,0
TLTW,51719,0,0.00,0,0.00,27.91,51145,574
VUSB,51402,0,0.00,0,0.00,49.09,47201,4201
HYD,48165,0,0.00,0,0.00,48.73,48165,0
MTUM,46561,0,0.00,0,0.00,142.47,46537,24
VLUE,44601,0,0.00,0,0.00,89.01,44454,147
REM,43432,0,0.00,0,0.00,21.56,41207,2225
NULV,40210,0,0.00,0,0.00,33.63,39160,1050
IAGG,40037,0,0.00,0,0.00,48.80,38154,1883
ICF,39851,0,0.00,0,0.00,50.94,39598,253
BUFR,39362,0,0.00,0,0.00,24.88,39162,200
HEFA,38527,0,0.00,0,0.00,30.12,38527,0
EFG,35455,0,0.00,0,0.00,86.64,35158,297
KNG,34177,0,0.00,0,0.00,49.10,34177,0
BBCA,33727,0,0.00,0,0.00,58.41,33532,195
FBCG,32415,0,0.00,0,0.00,30.67,32315,100
ECH,31714,0,0.00,0,0.00,25.02,31314,400
SPYI,31691,0,0.00,0,0.00,48.06,31615,76
IYZ,27514,0,0.00,0,0.00,21.26,26814,700
EEMV,26691,0,0.00,0,0.00,53.08,26391,300
DFIC,26623,0,0.00,0,0.00,23.21,26623,0
GSUS,26394,0,0.00,0,0.00,59.78,26394,0
MLN,26251,0,0.00,0,0.00,16.59,19318,6933
PICK,25692,0,0.00,0,0.00,39.16,25692,0
RDVI,25663,0,0.00,0,0.00,21.10,25663,0
GCOW,25545,0,0.00,0,0.00,32.78,25268,277
OMFL,24241,0,0.00,0,0.00,45.92,24208,33
MBCC,23780,0,0.00,0,0.00,26.10,9980,13800
JMUB,20151,0,0.00,0,0.00,48.25,20046,105
VIXM,19967,0,0.00,0,0.00,19.93,19867,100
BBIN,19728,0,0.00,0,0.00,52.12,18991,737
ACWV,19663,0,0.00,0,0.00,96.20,17893,1770
IEO,19494,0,0.00,0,0.00,100.20,19488,6
ZIVB,19294,0,0.00,0,0.00,19.23,8294,11000
NUMV,18797,0,0.00,0,0.00,28.21,18569,228
ESGV,18203,0,0.00,0,0.00,76.71,18203,0
XBOC,17797,0,0.00,0,0.00,26.51,17797,0
PSFF,17453,0,0.00,0,0.00,24.48,17453,0
JUCY,15751,0,0.00,0,0.00,24.25,15751,0
FLBL,15561,0,0.00,0,0.00,23.96,15211,350
SMIN,15548,0,0.00,0,0.00,64.19,13068,2480
ICVT,15446,0,0.00,0,0.00,73.25,15175,271
TMFC,14633,0,0.00,0,0.00,40.73,13533,1100
JMST,14423,0,0.00,0,0.00,50.40,14244,179
JCPB,13350,0,0.00,0,0.00,44.18,13087,263
WTAI,13350,0,0.00,0,0.00,17.55,13150,200
HYMU,13278,0,0.00,0,0.00,19.47,13278,0
IBHF,12143,0,0.00,0,0.00,22.28,11701,442
IGE,11992,0,0.00,0,0.00,41.92,11642,350
CNYA,11768,0,0.00,0,0.00,27.58,11768,0
IBHD,11670,0,0.00,0,0.00,23.15,11270,400
IFRA,11482,0,0.00,0,0.00,36.49,11481,1
NUSC,11460,0,0.00,0,0.00,34.04,11360,100
SLVP,10940,0,0.00,0,0.00,8.95,10940,0
ARKQ,10758,0,0.00,0,0.00,52.01,10758,0
SMMD,10614,0,0.00,0,0.00,53.84,10614,0
PTLC,10511,0,0.00,0,0.00,40.70,10511,0
XMPT,10131,0,0.00,0,0.00,18.75,8131,2000
OUSM,9990,0,0.00,0,0.00,35.23,9990,0
EMHY,9505,0,0.00,0,0.00,32.63,9116,389
BBUS,9354,0,0.00,0,0.00,78.56,9154,200
IGRO,9104,0,0.00,0,0.00,59.58,9104,0
EYLD,9007,0,0.00,0,0.00,28.75,8807,200
IZRL,8828,0,0.00,0,0.00,16.66,8828,0
NUDM,8721,0,0.00,0,0.00,27.16,8652,69
TILT,8713,0,0.00,0,0.00,164.22,8713,0
NEAR,8512,0,0.00,0,0.00,49.80,8512,0
XJR,8408,0,0.00,0,0.00,32.61,8308,100
REGL,8343,0,0.00,0,0.00,67.03,8343,0
ICOW,8032,0,0.00,0,0.00,29.98,6807,1225
XBTF,8021,0,0.00,0,0.00,27.65,7520,501
BALT,7612,0,0.00,0,0.00,27.98,6992,620
SMB,7506,0,0.00,0,0.00,16.71,7506,0
GOVZ,7397,0,0.00,0,0.00,10.00,7397,0
IBMP,7304,0,0.00,0,0.00,24.53,7304,0
ARKX,7252,0,0.00,0,0.00,13.72,4572,2680
LVHI,7248,0,0.00,0,0.00,27.20,7146,102
POCT,7169,0,0.00,0,0.00,34.34,7169,0
BOXX,6965,0,0.00,0,0.00,103.91,6965,0
IYT,6858,0,0.00,0,0.00,232.77,6809,49
VSGX,6843,0,0.00,0,0.00,50.55,5116,1727
IBMQ,6479,0,0.00,0,0.00,24.45,6479,0
TMFM,6317,0,0.00,0,0.00,23.88,5317,1000
ESML,6282,0,0.00,0,0.00,33.05,6179,103
IBMO,6281,0,0.00,0,0.00,24.83,5681,600
OCTJ,6225,0,0.00,0,0.00,23.93,6225,0
GMOM,6085,0,0.00,0,0.00,26.95,6085,0
SMDV,5984,0,0.00,0,0.00,56.10,5984,0
FLDR,5948,0,0.00,0,0.00,49.58,5948,0
SHYD,5892,0,0.00,0,0.00,21.70,5692,200
FRDM,5872,0,0.00,0,0.00,28.95,5872,0
FOCT,5835,0,0.00,0,0.00,37.23,5835,0
BUYW,5681,0,0.00,0,0.00,13.38,5681,0
DIHP,5410,0,0.00,0,0.00,23.32,5410,0
IYJ,5400,0,0.00,0,0.00,101.92,5358,42
BUFD,5255,0,0.00,0,0.00,21.50,5255,0
HYDB,5219,0,0.00,0,0.00,43.35,5219,0
STLG,5181,0,0.00,0,0.00,37.14,5181,0
FCPI,5156,0,0.00,0,0.00,32.62,5156,0
NUMG,5083,0,0.00,0,0.00,36.77,5083,0
IBMN,4980,0,0.00,0,0.00,26.13,4480,500
JEMA,4773,0,0.00,0,0.00,34.79,4773,0
SECT,4730,0,0.00,0,0.00,42.93,4730,0
TMFS,4730,0,0.00,0,0.00,27.41,2530,2200
OEUR,4697,0,0.00,0,0.00,25.98,4697,0
TMFG,4621,0,0.00,0,0.00,26.48,4621,0
NULG,4526,0,0.00,0,0.00,61.41,4526,0
CEFS,4508,0,0.00,0,0.00,17.57,4508,0
JPLD,4503,0,0.00,0,0.00,49.68,4503,0
TJUL,4482,0,0.00,0,0.00,24.60,4482,0
GPOW,4456,0,0.00,0,0.00,40.49,4456,0
BAMV,4400,0,0.00,0,0.00,25.21,4400,0
VCEB,4353,0,0.00,0,0.00,58.98,4353,0
IBMR,4272,0,0.00,0,0.00,23.91,4272,0
TYA,4160,0,0.00,0,0.00,12.45,4160,0
HEEM,4132,0,0.00,0,0.00,23.86,4132,0
UAUG,4089,0,0.00,0,0.00,28.97,4089,0
DISV,4042,0,0.00,0,0.00,23.39,3849,193
VOTE,4030,0,0.00,0,0.00,50.87,4030,0
BAMG,4000,0,0.00,0,0.00,25.65,4000,0
OUSA,3892,0,0.00,0,0.00,42.67,3693,199
FYLD,3867,0,0.00,0,0.00,23.90,3867,0
EPRF,3716,0,0.00,0,0.00,16.87,2516,1200
SVAL,3684,0,0.00,0,0.00,26.22,3684,0
MFUL,3604,0,0.00,0,0.00,21.21,3304,300
IBHE,3600,0,0.00,0,0.00,22.74,3600,0
NETZ,3580,0,0.00,0,0.00,52.02,3480,100
PSMR,3580,0,0.00,0,0.00,23.51,3580,0
FLQL,3564,0,0.00,0,0.00,43.93,3474,90
BUFF,3561,0,0.00,0,0.00,37.94,3561,0
OSCV,3547,0,0.00,0,0.00,30.23,3347,200
DJUN,3500,0,0.00,0,0.00,35.83,3500,0
IMFL,3456,0,0.00,0,0.00,22.96,3456,0
PRNT,3423,0,0.00,0,0.00,19.39,3423,0
HOCT,3400,0,0.00,0,0.00,23.94,3400,0
FGRO,3396,0,0.00,0,0.00,16.83,2640,756
PJUL,3396,0,0.00,0,0.00,34.10,3396,0
IBHG,3376,0,0.00,0,0.00,21.23,3376,0
OMFS,3321,0,0.00,0,0.00,33.36,3321,0
QSPT,3197,0,0.00,0,0.00,22.17,3197,0
SYLD,3182,0,0.00,0,0.00,61.24,3182,0
NUEM,3174,0,0.00,0,0.00,26.22,3174,0
IQDG,3112,0,0.00,0,0.00,31.99,3112,0
DAPR,3100,0,0.00,0,0.00,30.71,3100,0
DDLS,3055,0,0.00,0,0.00,30.11,2955,100
VFVA,3022,0,0.00,0,0.00,99.17,3022,0
EALT,3000,0,0.00,0,0.00,26.01,3000,0
BUFQ,2957,0,0.00,0,0.00,25.59,2957,0
FDRV,2882,0,0.00,0,0.00,16.49,2784,98
IBHC,2866,0,0.00,0,0.00,23.60,2866,0
XMAR,2791,0,0.00,0,0.00,31.84,2791,0
SMOT,2769,0,0.00,0,0.00,27.96,2769,0
DFIS,2732,0,0.00,0,0.00,21.47,2732,0
LQDW,2726,0,0.00,0,0.00,30.89,2726,0
FFEB,2716,0,0.00,0,0.00,39.62,2716,0
BUFG,2682,0,0.00,0,0.00,19.93,2682,0
PJUN,2658,0,0.00,0,0.00,31.68,2658,0
PAUG,2652,0,0.00,0,0.00,31.38,2652,0
PFEB,2620,0,0.00,0,0.00,30.87,2620,0
MEAR,2601,0,0.00,0,0.00,49.72,2601,0
PDEC,2601,0,0.00,0,0.00,32.81,2601,0
CEMB,2599,0,0.00,0,0.00,41.79,2599,0
JBBB,2591,0,0.00,0,0.00,47.21,2591,0
UOCT,2582,0,0.00,0,0.00,30.77,2582,0
SMMV,2575,0,0.00,0,0.00,33.32,2575,0
FSEP,2485,0,0.00,0,0.00,37.65,2485,0
FLQM,2445,0,0.00,0,0.00,43.23,2445,0
FDG,2443,0,0.00,0,0.00,64.39,2443,0
SAUG,2433,0,0.00,0,0.00,19.43,2433,0
GAUG,2414,0,0.00,0,0.00,29.86,2414,0
FLIA,2406,0,0.00,0,0.00,19.46,2406,0
FBCV,2382,0,0.00,0,0.00,27.65,2382,0
GJUN,2332,0,0.00,0,0.00,30.01,2332,0
VXZ,2290,0,0.00,0,0.00,17.22,2260,30
GVI,2287,0,0.00,0,0.00,100.89,2287,0
AFIF,2285,0,0.00,0,0.00,8.92,2285,0
HEGD,2263,0,0.00,0,0.00,18.38,2263,0
FRNW,2249,0,0.00,0,0.00,15.20,2249,0
IBHI,2240,0,0.00,0,0.00,21.46,2240,0
XSEP,2221,0,0.00,0,0.00,34.29,2221,0
BMAY,2211,0,0.00,0,0.00,31.55,2211,0
KJUL,2200,0,0.00,0,0.00,24.71,2000,200
FMAG,2180,0,0.00,0,0.00,22.08,2032,148
DIVB,2169,0,0.00,0,0.00,37.44,2081,88
TDV,2149,0,0.00,0,0.00,62.58,2149,0
MAMB,2140,0,0.00,0,0.00,20.81,2140,0
IDUB,2125,0,0.00,0,0.00,19.08,2125,0
OILK,2125,0,0.00,0,0.00,48.14,2125,0
QVAL,2065,0,0.00,0,0.00,36.41,2065,0
ACIO,2050,0,0.00,0,0.00,30.87,2050,0
DNOV,2027,0,0.00,0,0.00,36.21,2027,0
IYLD,2001,0,0.00,0,0.00,18.77,2001,0
SATO,1960,0,0.00,0,0.00,7.58,1960,0
PMAY,1943,0,0.00,0,0.00,29.89,1943,0
FLHY,1932,0,0.00,0,0.00,22.15,1932,0
DAUG,1912,0,0.00,0,0.00,33.52,1912,0
GAPR,1900,0,0.00,0,0.00,31.05,1900,0
DSEP,1895,0,0.00,0,0.00,34.43,1895,0
GSEP,1877,0,0.00,0,0.00,29.94,1877,0
FJUL,1865,0,0.00,0,0.00,38.84,1865,0
GDMA,1830,0,0.00,0,0.00,30.34,1830,0
NULC,1819,0,0.00,0,0.00,35.92,1819,0
OGIG,1791,0,0.00,0,0.00,31.62,1791,0
FMIL,1771,0,0.00,0,0.00,33.07,1771,0
PAWZ,1744,0,0.00,0,0.00,43.68,1744,0
RSST,1699,0,0.00,0,0.00,19.81,1699,0
GJUL,1686,0,0.00,0,0.00,30.28,1686,0
HAUS,1679,0,0.00,0,0.00,15.00,1679,0
NURE,1620,0,0.00,0,0.00,27.46,1620,0
EMGF,1608,0,0.00,0,0.00,41.15,1608,0
MPRO,1601,0,0.00,0,0.00,24.79,1101,500
OCTQ,1601,0,0.00,0,0.00,23.87,1601,0
DFNL,1599,0,0.00,0,0.00,26.75,1599,0
XVV,1591,0,0.00,0,0.00,33.16,1291,300
USMF,1567,0,0.00,0,0.00,38.95,1567,0
MOHR,1560,0,0.00,0,0.00,18.56,1560,0
IBML,1536,0,0.00,0,0.00,25.52,1536,0
DRSK,1532,0,0.00,0,0.00,23.37,1432,100
GSST,1524,0,0.00,0,0.00,49.80,1524,0
GTIP,1520,0,0.00,0,0.00,47.09,1320,200
GSEW,1515,0,0.00,0,0.00,60.15,1514,1
PTMC,1497,0,0.00,0,0.00,31.41,1497,0
HYIN,1481,0,0.00,0,0.00,17.82,980,501
TTAC,1463,0,0.00,0,0.00,52.32,1463,0
MSVX,1434,0,0.00,0,0.00,23.67,1434,0
IGEB,1401,0,0.00,0,0.00,41.87,1401,0
DINT,1400,0,0.00,0,0.00,17.91,1400,0
FSMO,1376,0,0.00,0,0.00,20.90,1376,0
WFHY,1322,0,0.00,0,0.00,42.84,1322,0
SNAV,1289,0,0.00,0,0.00,26.02,1289,0
PMAR,1288,0,0.00,0,0.00,33.93,1288,0
QJUN,1263,0,0.00,0,0.00,22.35,1263,0
XJH,1257,0,0.00,0,0.00,33.49,1257,0
GAA,1194,0,0.00,0,0.00,26.16,1194,0
XSHQ,1178,0,0.00,0,0.00,35.27,1178,0
BUFB,1159,0,0.00,0,0.00,25.91,1159,0
VFQY,1149,0,0.00,0,0.00,113.33,1149,0
PSEP,1128,0,0.00,0,0.00,32.81,1128,0
AESR,1126,0,0.00,0,0.00,12.46,1126,0
PIT,1104,0,0.00,0,0.00,52.43,1104,0
HSRT,1100,0,0.00,0,0.00,38.12,1100,0
XISE,1100,0,0.00,0,0.00,30.22,1100,0
PJAN,1095,0,0.00,0,0.00,35.31,1095,0
ADME,1088,0,0.00,0,0.00,35.80,1088,0
JPIB,1046,0,0.00,0,0.00,45.23,1046,0
XUSP,1045,0,0.00,0,0.00,27.21,1045,0
VFMF,1039,0,0.00,0,0.00,103.32,639,400
TAIL,1026,0,0.00,0,0.00,12.74,1026,0
IGHG,1022,0,0.00,0,0.00,73.95,1022,0
PBUS,1004,0,0.00,0,0.00,43.61,1004,0
PSCX,981,0,0.00,0,0.00,23.36,981,0
MSTB,977,0,0.00,0,0.00,26.40,977,0
DUDE,972,0,0.00,0,0.00,19.98,972,0
BBHY,957,0,0.00,0,0.00,43.27,957,0
QVOY,942,0,0.00,0,0.00,27.02,942,0
FJUN,938,0,0.00,0,0.00,41.16,938,0
GHYG,937,0,0.00,0,0.00,41.03,937,0
PAPR,932,0,0.00,0,0.00,30.96,932,0
FDEV,921,0,0.00,0,0.00,24.66,921,0
BMAR,916,0,0.00,0,0.00,36.91,916,0
